NC_005248	NC_005248.1	NC_005248.1	Escherichia coli plasmid pIGAL1, complete sequence
NG_049107	NG_049107.1	NG_049107.1	Escherichia coli 42/015 unnamed blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-8, complete CDS
NG_049108	NG_049108.1	NG_049108.1	Klebsiella pneumoniae 2170454 unnamed blaFOX gene for cephalosporin-hydrolyzing class C beta-lactamase FOX-9, complete CDS
NG_049109	NG_049109.1	NG_049109.1	Enterobacter cloacae DUB pDUB blaFRI gene for carbapenem-hydrolyzing class A beta-lactamase FRI-1, complete CDS
NG_049117	NG_049117.1	NG_049117.1	Pseudomonas aeruginosa WUM677 pAL677 blaGES gene for carbapenem-hydrolyzing class A beta-lactamase GES-15, complete CDS
NG_049118	NG_049118.1	NG_049118.1	Serratia marcescens SM190 pSM190 blaGES gene for carbapenem-hydrolyzing class A beta-lactamase GES-16, complete CDS
NG_049119	NG_049119.1	NG_049119.1	Escherichia coli 09240 pINCan1 blaGES gene for class A beta-lactamase GES-17, complete CDS
NG_049121	NG_049121.1	NG_049121.1	Escherichia coli 01298 pHCG11 blaGES gene for class A beta-lactamase GES-19, complete CDS
NG_049123	NG_049123.1	NG_049123.1	Escherichia coli 01298 pHCG11 blaGES gene for carbapenem-hydrolyzing class A beta-lactamase GES-20, complete CDS
NG_049137	NG_049137.1	NG_049137.1	Escherichia coli pEC365 blaGES gene for carbapenem-hydrolyzing class A beta-lactamase GES-5, complete CDS
NG_049168	NG_049168.1	NG_049168.1	Raoultella ornithinolytica RJ46C pRJ46C blaIMI gene for carbapenem-hydrolyzing class A beta-lactamase IMI-6, complete CDS
NG_049173	NG_049173.1	NG_049173.1	Pseudomonas aeruginosa PAI134 pMS455 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-10, complete CDS
NG_049174	NG_049174.1	NG_049174.1	Acinetobacter baumannii ABI1 pMS450 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-11, complete CDS
NG_049182	NG_049182.1	NG_049182.1	Aeromonas caviae A324R pJDB2 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-19, complete CDS
NG_049189	NG_049189.1	NG_049189.1	Pseudomonas aeruginosa KMP0701 pKMP0701 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-25, complete CDS
NG_049202	NG_049202.1	NG_049202.1	Klebsiella pneumoniae pHNCS299 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-38, complete CDS
NG_049217	NG_049217.1	NG_049217.1	Acinetobacter baumannii 56 unnamed blaIMP gene for subclass B1 metallo-beta-lactamase IMP-55, complete CDS
NG_049218	NG_049218.1	NG_049218.1	Pseudomonas aeruginosa 1207312 unnamed blaIMP gene for subclass B1 metallo-beta-lactamase IMP-56, complete CDS
NG_049222	NG_049222.1	NG_049222.1	Klebsiella pneumoniae KP-0787 pEKP0787-1 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-8, complete CDS
NG_049223	NG_049223.1	NG_049223.1	Pseudomonas aeruginosa PA96 pOZ176 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-9, complete CDS
NG_049240	NG_049240.1	NG_049240.1	Citrobacter freundii pCF243 blaKHM gene for subclass B1 metallo-beta-lactamase KHM-1, complete CDS
NG_049242	NG_049242.1	NG_049242.1	Enterobacter cloacae unnamed blaKLUC gene for class A extended-spectrum beta-lactamase KLUC-2, complete CDS
NG_049244	NG_049244.1	NG_049244.1	Klebsiella pneumoniae Kp10-26 pKp10-26 blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-11, complete CDS
NG_049246	NG_049246.1	NG_049246.1	Enterobacter cloacae EN038 EcKPC12 blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-13, complete CDS
NG_049248	NG_049248.1	NG_049248.1	Klebsiella pneumoniae kp1241 unnamed blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-15, complete CDS
NG_049256	NG_049256.1	NG_049256.1	Klebsiella pneumoniae UC331 unnamed blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-24, complete CDS
NG_049263	NG_049263.1	NG_049263.1	Enterobacter cloacae S3 unknown blaLAP gene for class A beta-lactamase LAP-1, complete CDS
NG_049267	NG_049267.1	NG_049267.1	Pseudomonas aeruginosa 2293E 2293E blaLCR gene for oxacillin-hydrolyzing class D beta-lactamase LCR-1, complete CDS
NG_049282	NG_049282.1	NG_049282.1	Klebsiella pneumoniae K26 pk26 blaLEN gene for class A beta-lactamase LEN-5, complete CDS
NG_049293	NG_049293.1	NG_049293.1	Klebsiella pneumoniae pMG230 blaMIR gene for cephalosporin-hydrolyzing class C beta-lactamase MIR-1, complete CDS
NG_049305	NG_049305.1	NG_049305.1	Escherichia coli 384 unnamed blaMIR gene for cephalosporin-hydrolyzing class C beta-lactamase MIR-4, complete CDS
NG_049306	NG_049306.1	NG_049306.1	Klebsiella pneumoniae 801 EBC801 blaMIR gene for cephalosporin-hydrolyzing class C beta-lactamase MIR-5, complete CDS
NG_049311	NG_049311.1	NG_049311.1	Klebsiella pneumoniae NU2936 Plasmid pRMOX-1 blaMOX gene for CMY-1/MOX family class C beta-lactamase MOX-1, complete CDS
NG_049315	NG_049315.1	NG_049315.1	Klebsiella pneumoniae KOL pLRB01 blaMOX gene for CMY-1/MOX family class C beta-lactamase MOX-2, complete CDS
NG_049326	NG_049326.1	NG_049326.1	Klebsiella pneumoniae pKpANDM-1 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-1, complete CDS
NG_049329	NG_049329.1	NG_049329.1	Escherichia coli IOMTU 388.1 pIOMTU388-NDM blaNDM gene for subclass B1 metallo-beta-lactamase NDM-12, complete CDS
NG_049330	NG_049330.1	NG_049330.1	Escherichia coli IOMTU 558 pIOMTU558-NDM blaNDM gene for subclass B1 metallo-beta-lactamase NDM-13, complete CDS
NG_049331	NG_049331.1	NG_049331.1	Acinetobacter lwoffii JN49-1 pNDM-JN01 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-14, complete CDS
NG_049335	NG_049335.1	NG_049335.1	Escherichia coli QECAU3 pHS-NDM-3 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-3, complete CDS
NG_049338	NG_049338.1	NG_049338.1	Escherichia coli 1100101 unnamed blaNDM gene for subclass B1 metallo-beta-lactamase NDM-6, complete CDS
NG_049339	NG_049339.1	NG_049339.1	Escherichia coli N11-02566 pNDM-Ec112566 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-7, complete CDS
NG_049340	NG_049340.1	NG_049340.1	Escherichia coli NCGM37 pNDM-8 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-8, complete CDS
NG_049341	NG_049341.1	NG_049341.1	Klebsiella pneumoniae subsp. pneumoniae PPH1303 pNDM-pph1303 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-9, complete CDS
NG_049343	NG_049343.1	NG_049343.1	Pseudomonas aeruginosa M302 pMLH50 blaNPS gene for oxacillin-hydrolyzing class D beta-lactamase NPS-1, complete CDS
NG_049393	NG_049393.1	NG_049393.1	Pseudomonas aeruginosa R388-R151 hybrid blaOXA gene for oxacillin-hydrolyzing class D beta-lactamase OXA-10, complete CDS
NG_049464	NG_049464.1	NG_049464.1	Acinetobacter baumannii AB58 pAB58 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-165, complete CDS
NG_049465	NG_049465.1	NG_049465.1	Acinetobacter baumannii AB79 pAB79 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-166, complete CDS
NG_049466	NG_049466.1	NG_049466.1	Acinetobacter baumannii AB167 pAB167 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-167, complete CDS
NG_049467	NG_049467.1	NG_049467.1	Acinetobacter baumannii AB171 pAB171 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-168, complete CDS
NG_049468	NG_049468.1	NG_049468.1	Acinetobacter baumannii AB286 pAB286 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-169, complete CDS
NG_049470	NG_049470.1	NG_049470.1	Acinetobacter baumannii AB315 pAB315 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-170, complete CDS
NG_049471	NG_049471.1	NG_049471.1	Acinetobacter baumannii AB322 pAB322 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-171, complete CDS
NG_049482	NG_049482.1	NG_049482.1	Klebsiella pneumoniae KP3 pKP3-A blaOXA gene for OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181, complete CDS
NG_049496	NG_049496.1	NG_049496.1	Salmonella enterica subsp. enterica serovar Typhimurium R46 blaOXA gene for oxacillin-hydrolyzing class D beta-lactamase OXA-2, complete CDS
NG_049502	NG_049502.1	NG_049502.1	Klebsiella pneumoniae 204 p204-B blaOXA gene for OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-204, complete CDS
NG_049507	NG_049507.1	NG_049507.1	Riemerella anatipestifer 0726 pRA0726 blaOXA gene for class D beta-lactamase OXA-209, complete CDS
NG_049539	NG_049539.1	NG_049539.1	Klebsiella pneumoniae K-754 unnamed blaOXA gene for OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-244, complete CDS
NG_049540	NG_049540.1	NG_049540.1	Klebsiella pneumoniae K-943 unnamed blaOXA gene for OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-245, complete CDS
NG_049542	NG_049542.1	NG_049542.1	Klebsiella pneumoniae Kpn247 unnamed blaOXA gene for OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-247, complete CDS
NG_049735	NG_049735.1	NG_049735.1	Pseudomonas aeruginosa 07-406 pMATTx blaOXA gene for oxacillin-hydrolyzing class D extended-spectrum beta-lactamase OXA-45, complete CDS
NG_049776	NG_049776.1	NG_049776.1	Pseudomonas aeruginosa 76072601 pMON812 blaOXA gene for oxacillin-hydrolyzing class D beta-lactamase OXA-5, complete CDS
NG_049814	NG_049814.1	NG_049814.1	Klebsiella pneumoniae Kp1239 pJIBE401 blaOXA gene for OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-73, complete CDS
NG_049827	NG_049827.1	NG_049827.1	Acinetobacter baumannii pAOX1 blaOXA gene for OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-87, complete CDS
NG_049977	NG_049977.1	NG_049977.1	Haemophilus influenzae type b RRob blaROB gene for cephalosporin-hydrolyzing class A beta-lactamase ROB-1, complete CDS
NG_049982	NG_049982.1	NG_049982.1	Enterobacter cloacae pFCX300L blaFONA gene for class A extended-spectrum beta-lactamase SFO-1, complete CDS
NG_049994	NG_049994.1	NG_049994.1	Klebsiella pneumoniae pML2011 blaSHV gene for class A extended-spectrum beta-lactamase SHV-104, complete CDS
NG_050004	NG_050004.1	NG_050004.1	Escherichia coli SEC09 pSEC09-qnrS blaSHV gene for class A beta-lactamase SHV-120, complete CDS
NG_050006	NG_050006.1	NG_050006.1	Enterobacter cloacae pBF1417 blaSHV gene for class A extended-spectrum beta-lactamase SHV-128, complete CDS
NG_050007	NG_050007.1	NG_050007.1	Escherichia coli Ec6-66 pEc6-66 blaSHV gene for class A extended-spectrum beta-lactamase SHV-129, complete CDS
NG_050059	NG_050059.1	NG_050059.1	Klebsiella pneumoniae Kpn32 pKP32 blaSHV gene for class A beta-lactamase SHV-1b-b, complete CDS
NG_050069	NG_050069.1	NG_050069.1	Enterobacter cloacae unnamed blaSHV gene for class A extended-spectrum beta-lactamase SHV-30, complete CDS
NG_050073	NG_050073.1	NG_050073.1	Escherichia coli pOZ185 blaSHV gene for class A extended-spectrum beta-lactamase SHV-34, complete CDS
NG_050074	NG_050074.1	NG_050074.1	Klebsiella pneumoniae p0z186 blaSHV gene for class A beta-lactamase SHV-35, complete CDS
NG_050075	NG_050075.1	NG_050075.1	Klebsiella pneumoniae G122 pOZ187 blaSHV gene for class A beta-lactamase SHV-36, complete CDS
NG_050081	NG_050081.1	NG_050081.1	Klebsiella pneumoniae pch4 blaSHV gene for class A broad-spectrum beta-lactamase SHV-43, complete CDS
NG_050093	NG_050093.1	NG_050093.1	Escherichia coli 981223 pMTY512 blaSHV gene for class A extended-spectrum beta-lactamase SHV-57, complete CDS
NG_050094	NG_050094.1	NG_050094.1	Klebsiella pneumoniae kp132 kp132-2 blaSHV gene for class A beta-lactamase SHV-59, complete CDS
NG_050105	NG_050105.1	NG_050105.1	Enterobacter cloacae pEC04 blaSHV gene for class A extended-spectrum beta-lactamase SHV-70, complete CDS
NG_050120	NG_050120.1	NG_050120.1	Klebsiella pneumoniae unnamed blaSHV gene for class A extended-spectrum beta-lactamase SHV-86, complete CDS
NG_050121	NG_050121.1	NG_050121.1	Klebsiella pneumoniae pKP24 blaSHV gene for class A broad-spectrum beta-lactamase SHV-89, complete CDS
NG_050122	NG_050122.1	NG_050122.1	Klebsiella pneumoniae pK318-2 blaSHV gene for class A beta-lactamase SHV-9, complete CDS
NG_050123	NG_050123.1	NG_050123.1	Klebsiella pneumoniae pMVH203 blaSHV gene for class A beta-lactamase SHV-92, complete CDS
NG_050147	NG_050147.1	NG_050147.1	Escherichia coli pBP311 blaTEM gene for class A extended-spectrum beta-lactamase TEM-101, complete CDS
NG_050162	NG_050162.1	NG_050162.1	Staphylococcus aureus pJ3356::POX7 blaTEM gene for class A broad-spectrum beta-lactamase TEM-116, complete CDS
NG_050171	NG_050171.1	NG_050171.1	Escherichia coli unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-127, complete CDS
NG_050172	NG_050172.1	NG_050172.1	Escherichia coli unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-128, complete CDS
NG_050176	NG_050176.1	NG_050176.1	Klebsiella pneumoniae unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-132, complete CDS
NG_050179	NG_050179.1	NG_050179.1	Salmonella enterica subsp. enterica serovar Typhimurium pFPTB1 blaTEM gene for class A broad-spectrum beta-lactamase TEM-135, complete CDS
NG_050182	NG_050182.1	NG_050182.1	Salmonella enterica pCN2310 blaTEM gene for class A extended-spectrum beta-lactamase TEM-138, complete CDS
NG_050183	NG_050183.1	NG_050183.1	Klebsiella pneumoniae conjugative plasmid blaTEM gene for class A extended-spectrum beta-lactamase TEM-139, complete CDS
NG_050184	NG_050184.1	NG_050184.1	Enterobacter cloacae EC002 blaTEM gene for class A broad-spectrum beta-lactamase TEM-141, complete CDS
NG_050185	NG_050185.1	NG_050185.1	Escherichia coli pPHBTEM-142 blaTEM gene for class A beta-lactamase TEM-142, complete CDS
NG_050190	NG_050190.1	NG_050190.1	Pseudomonas aeruginosa pPA4-141 blaTEM gene for class A extended-spectrum beta-lactamase TEM-147, complete CDS
NG_050193	NG_050193.1	NG_050193.1	Haemophilus parainfluenzae pSF2 blaTEM gene for class A extended-spectrum beta-lactamase TEM-15, complete CDS
NG_050201	NG_050201.1	NG_050201.1	Enterobacter cloacae pEC005 blaTEM gene for class A extended-spectrum beta-lactamase TEM-157, complete CDS
NG_050206	NG_050206.1	NG_050206.1	Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS
NG_050208	NG_050208.1	NG_050208.1	Klebsiella pneumoniae pML1708 blaTEM gene for class A extended-spectrum beta-lactamase TEM-164, complete CDS
NG_050214	NG_050214.1	NG_050214.1	Escherichia coli pAm08CQ6130 blaTEM gene for class A beta-lactamase TEM-171, complete CDS
NG_050221	NG_050221.1	NG_050221.1	Escherichia coli PI-12197 pCT-1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-184, complete CDS
NG_050223	NG_050223.1	NG_050223.1	Escherichia coli RS60 unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-186, complete CDS
NG_050224	NG_050224.1	NG_050224.1	Proteus mirabilis 7001324 unnamed blaTEM gene for class A extended-spectrum beta-lactamase TEM-187, complete CDS
NG_050236	NG_050236.1	NG_050236.1	Escherichia coli WDR-13 unnamed blaTEM gene for class A beta-lactamase TEM-201, complete CDS
NG_050238	NG_050238.1	NG_050238.1	Escherichia coli S2.2-EK pEC-S2.2 blaTEM gene for class A broad-spectrum beta-lactamase TEM-206, complete CDS
NG_050243	NG_050243.1	NG_050243.1	Escherichia coli pH1519-88 blaTEM gene for class A beta-lactamase TEM-210, complete CDS
NG_050258	NG_050258.1	NG_050258.1	Pseudomonas aeruginosa pPA3-104 blaTEM gene for class A extended-spectrum beta-lactamase TEM-29, complete CDS
NG_050259	NG_050259.1	NG_050259.1	Klebsiella pneumoniae CF104 pCFF04 blaTEM gene for class A extended-spectrum beta-lactamase TEM-3, complete CDS
NG_050260	NG_050260.1	NG_050260.1	Escherichia coli pINSRA99 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-30, complete CDS
NG_050262	NG_050262.1	NG_050262.1	Escherichia coli B24 pEC_B24 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-33, complete CDS
NG_050263	NG_050263.1	NG_050263.1	Haemophilus parainfluenzae 72322 unnamed blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-34, complete CDS
NG_050265	NG_050265.1	NG_050265.1	Klebsiella pneumoniae H67 pRYC11 blaTEM gene for class A extended-spectrum beta-lactamase TEM-4, complete CDS
NG_050276	NG_050276.1	NG_050276.1	Escherichia coli F4-Zhengzhou unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-57, complete CDS
NG_050278	NG_050278.1	NG_050278.1	Providencia stuartii VR-1 blaTEM gene for class A extended-spectrum beta-lactamase TEM-60, complete CDS
NG_050280	NG_050280.1	NG_050280.1	Proteus mirabilis NEL-1 pANG-1 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-67, complete CDS
NG_050283	NG_050283.1	NG_050283.1	Klebsiella pneumoniae 3635 pMG259 blaTEM gene for class A extended-spectrum beta-lactamase TEM-71, complete CDS
NG_050284	NG_050284.1	NG_050284.1	Morganella morganii FI-13 pMNFI-13 blaTEM gene for class A extended-spectrum beta-lactamase TEM-72, complete CDS
NG_050295	NG_050295.1	NG_050295.1	Klebsiella pneumoniae CLSiS 2949/98 pbla-TEM-85 blaTEM gene for class A extended-spectrum beta-lactamase TEM-85, complete CDS
NG_050296	NG_050296.1	NG_050296.1	Klebsiella pneumoniae CLSiS 2946/98 pbla-TEM-86 blaTEM gene for class A extended-spectrum beta-lactamase TEM-86, complete CDS
NG_050297	NG_050297.1	NG_050297.1	Proteus mirabilis pPm87 blaTEM gene for class A extended-spectrum beta-lactamase TEM-87, complete CDS
NG_050298	NG_050298.1	NG_050298.1	Klebsiella pneumoniae K28 pMG272 blaTEM gene for class A extended-spectrum beta-lactamase TEM-88, complete CDS
NG_050299	NG_050299.1	NG_050299.1	Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS
NG_050302	NG_050302.1	NG_050302.1	Escherichia coli CLSiS 3445/98 pblaTEM-93 blaTEM gene for class A extended-spectrum beta-lactamase TEM-93, complete CDS
NG_050303	NG_050303.1	NG_050303.1	Escherichia coli CLSiS 3657/98 pblaTEM-94 blaTEM gene for class A extended-spectrum beta-lactamase TEM-94, complete CDS
NG_050305	NG_050305.1	NG_050305.1	Escherichia coli H28 pOZ188 blaTEM gene for class A beta-lactamase TEM-96, complete CDS
NG_050311	NG_050311.1	NG_050311.1	Escherichia coli R170 pRZA92 blaTLA gene for class A extended-spectrum beta-lactamase TLA-1, complete CDS
NG_050312	NG_050312.1	NG_050312.1	Serratia marcescens 11663 p11663 blaTLA gene for class A extended-spectrum beta-lactamase TLA-3, complete CDS
NG_050351	NG_050351.1	NG_050351.1	Proteus mirabilis P13 unnamed blaVIM gene for subclass B1 metallo-beta-lactamase VIM-25, complete CDS
NG_050355	NG_050355.1	NG_050355.1	Escherichia coli 957 unnamed blaVIM gene for subclass B1 metallo-beta-lactamase VIM-29, complete CDS
NG_050404	NG_050404.1	NG_050404.1	Providencia stuartii pLQ1723 ere(A) gene for inactive erythromycin esterase Ere(A2), complete CDS
NG_050407	NG_050407.1	NG_050407.1	Escherichia coli p06607 fosA gene for fosfomycin resistance glutathione transferase FosA3, complete CDS
NG_050409	NG_050409.1	NG_050409.1	Klebsiella pneumoniae KP96 pKP96 fosA gene for fosfomycin resistance glutathione transferase FosA5, complete CDS
NG_050416	NG_050416.1	NG_050416.1	Staphylococcus haemolyticus pLNU3 lnu(A) gene for lincosamide nucleotidyltransferase Lnu(A)', complete CDS
NG_050459	NG_050459.1	NG_050459.1	Escherichia coli pHPA qepA gene for fluoroquinolone efflux MFS transporter QepA1, complete CDS
NG_050460	NG_050460.1	NG_050460.1	Escherichia coli BicA pQep qepA gene for fluoroquinolone efflux MFS transporter QepA2, complete CDS
NG_050461	NG_050461.1	NG_050461.1	[Enterobacter] aerogenes EA3201 pEA3201 qepA gene for fluoroquinolone efflux MFS transporter QepA3, complete CDS
NG_050462	NG_050462.1	NG_050462.1	Klebsiella pneumoniae pMG252 qnrA gene for quinolone resistance pentapeptide repeat protein QnrA1, complete CDS
NG_050463	NG_050463.1	NG_050463.1	Klebsiella oxytoca unnamed qnrA gene for quinolone resistance pentapeptide repeat protein QnrA2, complete CDS
NG_050467	NG_050467.1	NG_050467.1	Proteus mirabilis PS16 unnamed qnrA gene for quinolone resistance pentapeptide repeat protein QnrA6, complete CDS
NG_050468	NG_050468.1	NG_050468.1	Shewanella algae unnamed qnrA gene for quinolone resistance pentapeptide repeat protein QnrA7, complete CDS
NG_050469	NG_050469.1	NG_050469.1	Klebsiella pneumoniae pMG298 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB1, complete CDS
NG_050470	NG_050470.1	NG_050470.1	Citrobacter freundii V1 pCFV1 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB10, complete CDS
NG_050480	NG_050480.1	NG_050480.1	Citrobacter koseri pMG301 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB2, complete CDS
NG_050482	NG_050482.1	NG_050482.1	Escherichia coli 753 unnamed qnrB gene for quinolone resistance pentapeptide repeat protein QnrB21, complete CDS
NG_050484	NG_050484.1	NG_050484.1	Citrobacter freundii S008 pS008 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB23, complete CDS
NG_050485	NG_050485.1	NG_050485.1	Citrobacter freundii ay09-906546 Pcfay09-906546 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB24, complete CDS
NG_050486	NG_050486.1	NG_050486.1	Citrobacter freundii RSPMQR-237-09 unnamed qnrB gene for quinolone resistance pentapeptide repeat protein QnrB25, complete CDS
NG_050488	NG_050488.1	NG_050488.1	Citrobacter braakii S08-IJ52 pS08-IJ52 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB27, complete CDS
NG_050489	NG_050489.1	NG_050489.1	Citrobacter freundii S08-IJ77 pS08-IJ77 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB28, complete CDS
NG_050492	NG_050492.1	NG_050492.1	Citrobacter braakii S08-GS31 pS08-GS31 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB30, complete CDS
NG_050493	NG_050493.1	NG_050493.1	Klebsiella pneumoniae 3606 p072581 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB31, complete CDS
NG_050503	NG_050503.1	NG_050503.1	Citrobacter braakii S08-KM99 pS08-KM99 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB40, complete CDS
NG_050515	NG_050515.1	NG_050515.1	Proteus mirabilis unnamed qnrB gene for quinolone resistance pentapeptide repeat protein QnrB52, complete CDS
NG_050516	NG_050516.1	NG_050516.1	Klebsiella pneumoniae Kp4047 pKp4047 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB53, complete CDS
NG_050518	NG_050518.1	NG_050518.1	Raoultella terrigena CLEC38 pCLEC38 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB55, complete CDS
NG_050523	NG_050523.1	NG_050523.1	Pantoea agglomerans HX05015076 pWCH-LM2 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB6, complete CDS
NG_050540	NG_050540.1	NG_050540.1	Citrobacter freundii pCF41 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB9, complete CDS
NG_050541	NG_050541.1	NG_050541.1	Salmonella enterica subsp. enterica serovar Bovismorbificans GSS-HN-2007057 p2007057 qnrD gene for quinolone resistance pentapeptide repeat protein QnrD1, complete CDS
NG_050542	NG_050542.1	NG_050542.1	Salmonella enterica subsp. enterica serovar Hadar N08-2312 pQnrD2 qnrD gene for quinolone resistance pentapeptide repeat protein QnrD2, complete CDS
NG_050543	NG_050543.1	NG_050543.1	Shigella flexneri pAH0376 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS1, complete CDS
NG_050544	NG_050544.1	NG_050544.1	Salmonella enterica subsp. enterica serovar Anatum pMG308 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS2, complete CDS
NG_050546	NG_050546.1	NG_050546.1	Aeromonas sobria SNUFPC-A4 pAQ1-1 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS5, complete CDS
NG_050547	NG_050547.1	NG_050547.1	Aeromonas hydrophila SNUFPC-A5 pAQ2-2 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS6, complete CDS
NG_050548	NG_050548.1	NG_050548.1	Escherichia coli SEC09 pSEC09 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS7, complete CDS
NG_050549	NG_050549.1	NG_050549.1	Klebsiella pneumoniae CLEC82 pCLEC82 qnrS gene for quinolone resistance pentapeptide repeat protein QnrS8, complete CDS
NG_050555	NG_050555.1	NG_050555.1	Vibrio parahaemolyticus vp pVP1 qnrVC gene for quinolone resistance pentapeptide repeat protein QnrVC6, complete CDS
NG_050559	NG_050559.1	NG_050559.1	Escherichia coli S68 IncI1ST898 rmtE gene for 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtE2, complete CDS
NG_050590	NG_050590.1	NG_050590.1	Enterobacter cloacae CRE727 pNDM-HF727 blaSHV gene for class A extended-spectrum beta-lactamase SHV-12, complete CDS
NG_047285	NG_047285.1	NG_047285.1	Plasmid pJHC-MW1 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_047326	NG_047326.1	NG_047326.1	Plasmid R46 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_047442	NG_047442.1	NG_047442.1	Plasmid RP4 aph(3')-Ib gene for aminoglycoside O-phosphotransferase APH(3')-Ib, complete CDS
NG_047463	NG_047463.1	NG_047463.1	Salmonella enterica subsp. enterica serovar Heidelberg 111 pSH111_227 aph(6)-Ic gene for aminoglycoside O-phosphotransferase APH(6)-Ic, complete CDS
NG_047726	NG_047726.1	NG_047726.1	Plasmid pAZ1 dfrA3 gene for trimethoprim-resistant dihydrofolate reductase DfrA3, complete CDS
NG_047795	NG_047795.1	NG_047795.1	Plasmid pAM77 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_047796	NG_047796.1	NG_047796.1	Plasmid pIP1527 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_047808	NG_047808.1	NG_047808.1	Plasmid pE5 erm(C) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C), complete CDS
NG_047838	NG_047838.1	NG_047838.1	Plasmid pGT633 erm(T) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T), complete CDS
NG_047848	NG_047848.1	NG_047848.1	Plasmid pNG2 erm(X) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X), complete CDS
